MgCl2.2H2O 80K NIR reflectance spectra from 0.35-2.5um		
Data from Hanley et al. (2014)		
		
Wavelength (um)	% Reflectance	normalized
0.35	0.291129582	0.924290752
0.351	0.286879102	0.910796145
0.352	0.289280145	0.91841908
0.353	0.292332026	0.928108322
0.354	0.290147582	0.921173057
0.355	0.289511563	0.919153794
0.356	0.291683159	0.926048272
0.357	0.293825048	0.932848434
0.358	0.292312393	0.928045992
0.359	0.29240839	0.928350767
0.36	0.293011575	0.930265784
0.361	0.293262069	0.931061064
0.362	0.293185185	0.93081697
0.363	0.29414782	0.933873186
0.364	0.293542366	0.931950963
0.365	0.290927913	0.923650485
0.366	0.292931104	0.930010301
0.367	0.29363814	0.93225503
0.368	0.293359978	0.93137191
0.369	0.294230552	0.934135844
0.37	0.294780775	0.935882718
0.371	0.294316875	0.934409906
0.372	0.293650703	0.932294917
0.373	0.294611973	0.935346796
0.374	0.294178578	0.933970835
0.375	0.293544925	0.931959088
0.376	0.293829492	0.932862544
0.377	0.294732021	0.935727931
0.378	0.294632252	0.935411181
0.379	0.294377604	0.934602711
0.38	0.294979944	0.936515048
0.381	0.29416966	0.933942521
0.382	0.29403816	0.93352503
0.383	0.295030243	0.93667474
0.384	0.296097603	0.940063439
0.385	0.295203424	0.93722456
0.386	0.294542381	0.935125852
0.387	0.295341873	0.937664116
0.388	0.296349028	0.940861675
0.389	0.295933236	0.939541599
0.39	0.295678234	0.938732009
0.391	0.296994945	0.942912359
0.392	0.296976459	0.942853669
0.393	0.29683215	0.942395511
0.394	0.297031567	0.943028629
0.395	0.297427487	0.944285613
0.396	0.297373555	0.944114386
0.397	0.297517637	0.944571824
0.398	0.297996854	0.946093262
0.399	0.297952801	0.945953402
0.4	0.298578271	0.94793917
0.401	0.299207393	0.949936534
0.402	0.299131156	0.949694495
0.403	0.299126407	0.949679417
0.404	0.299559458	0.951054287
0.405	0.299911063	0.952170576
0.406	0.299349604	0.950388031
0.407	0.299160421	0.949787406
0.408	0.299374211	0.950466155
0.409	0.299642912	0.95131924
0.41	0.299289563	0.950197411
0.411	0.299690002	0.951468743
0.412	0.300189472	0.953054483
0.413	0.300085791	0.952725312
0.414	0.300467615	0.953937542
0.415	0.300582712	0.954302956
0.416	0.300470891	0.953947943
0.417	0.300633144	0.954463072
0.418	0.300817164	0.955047306
0.419	0.301001481	0.955632482
0.42	0.301109933	0.9559768
0.421	0.300909054	0.955339042
0.422	0.301145093	0.95608843
0.423	0.301538212	0.95733652
0.424	0.301657064	0.957713856
0.425	0.30168389	0.957799023
0.426	0.301704956	0.957865906
0.427	0.301739593	0.957975871
0.428	0.301769204	0.958069883
0.429	0.301929948	0.958580221
0.43	0.302155417	0.959296049
0.431	0.302366718	0.959966896
0.432	0.302517209	0.960444681
0.433	0.302625555	0.960788662
0.434	0.302746763	0.96117348
0.435	0.302909486	0.9616901
0.436	0.302968483	0.961877405
0.437	0.3029592	0.961847934
0.438	0.302987725	0.961938494
0.439	0.303193749	0.96259259
0.44	0.303347297	0.963080079
0.441	0.303433578	0.963354009
0.442	0.303491155	0.963536807
0.443	0.303582612	0.963827169
0.444	0.303691614	0.964173232
0.445	0.303765823	0.964408834
0.446	0.303774332	0.964435849
0.447	0.303925182	0.964914773
0.448	0.304025145	0.96523214
0.449	0.304052452	0.965318836
0.45	0.304207329	0.965810546
0.451	0.304406816	0.966443886
0.452	0.30459375	0.967037374
0.453	0.304743531	0.967512904
0.454	0.304920139	0.968073608
0.455	0.305048804	0.968482099
0.456	0.305162388	0.96884271
0.457	0.305333356	0.969385505
0.458	0.305400397	0.969598349
0.459	0.305561546	0.970109974
0.46	0.30582535	0.970947511
0.461	0.305851022	0.971029015
0.462	0.305977056	0.971429153
0.463	0.306219809	0.972199856
0.464	0.306472564	0.973002312
0.465	0.306524702	0.973167844
0.466	0.306725497	0.973805336
0.467	0.307073444	0.974910013
0.468	0.307286334	0.975585905
0.469	0.307350322	0.975789057
0.47	0.307583991	0.97653092
0.471	0.308048499	0.978005658
0.472	0.30811458	0.978215456
0.473	0.308358883	0.978991079
0.474	0.308720098	0.980137879
0.475	0.308936752	0.980825723
0.476	0.309087633	0.981304746
0.477	0.309237525	0.981780632
0.478	0.309405204	0.982312985
0.479	0.309560053	0.982804607
0.48	0.309845687	0.98371145
0.481	0.310110916	0.984553509
0.482	0.310258083	0.985020743
0.483	0.310554273	0.985961099
0.484	0.310815877	0.986791649
0.485	0.311014904	0.987423529
0.486	0.311216346	0.988063077
0.487	0.311451406	0.988809357
0.488	0.311680564	0.989536895
0.489	0.311874272	0.990151887
0.49	0.312028195	0.990640569
0.491	0.31222701	0.991271775
0.492	0.312453643	0.991991301
0.493	0.312662098	0.992653114
0.494	0.312843238	0.993228204
0.495	0.313014867	0.9937731
0.496	0.313131477	0.994143316
0.497	0.313109303	0.994072917
0.498	0.31323984	0.994487353
0.499	0.313387603	0.994956475
0.5	0.313446833	0.995144522
0.501	0.313583797	0.995579363
0.502	0.313734019	0.996056293
0.503	0.313854412	0.996438522
0.504	0.313930488	0.99668005
0.505	0.314094158	0.997199679
0.506	0.314276583	0.99777885
0.507	0.314398248	0.998165117
0.508	0.314387951	0.998132425
0.509	0.314481107	0.998428181
0.51	0.314563693	0.998690378
0.511	0.31451611	0.998539311
0.512	0.314571922	0.998716503
0.513	0.314670361	0.999029033
0.514	0.314782636	0.999385488
0.515	0.31490442	0.999772134
0.516	0.314976193	1
0.517	0.314942443	0.999892851
0.518	0.314845959	0.999586528
0.519	0.314949863	0.999916407
0.52	0.314968324	0.999975017
0.521	0.314911922	0.999795951
0.522	0.314900917	0.999761011
0.523	0.314935776	0.999871683
0.524	0.314949956	0.999916702
0.525	0.314914893	0.999805383
0.526	0.314854696	0.999614266
0.527	0.314849678	0.999598337
0.528	0.314832336	0.999543277
0.529	0.314754297	0.999295514
0.53	0.314772571	0.999353534
0.531	0.314806472	0.999461164
0.532	0.314792855	0.999417931
0.533	0.31469934	0.999121036
0.534	0.31469155	0.999096303
0.535	0.3146331	0.998910735
0.536	0.314463435	0.998372076
0.537	0.31437575	0.998093688
0.538	0.314242607	0.997670982
0.539	0.314073571	0.997134318
0.54	0.313915547	0.996632617
0.541	0.313722153	0.99601862
0.542	0.313493942	0.995294087
0.543	0.313264278	0.99456494
0.544	0.313099691	0.9940424
0.545	0.312930418	0.993504987
0.546	0.312772945	0.993005035
0.547	0.312664675	0.992661292
0.548	0.312649722	0.992613821
0.549	0.312601366	0.992460298
0.55	0.312538207	0.992259776
0.551	0.312572982	0.992370184
