MgCl2.4H2O 80K NIR reflectance spectra from 0.35-2.5um		
This is the data used to create Figure 2		
		
Wavelength (um)	% Reflectance	normalized
0.35	0.311202869	0.907875814
0.351	0.307700602	0.897658607
0.352	0.309442269	0.902739592
0.353	0.311956395	0.910074082
0.354	0.310632944	0.906213164
0.355	0.310427707	0.905614424
0.356	0.312591516	0.911926928
0.357	0.3145762	0.917716871
0.358	0.313169323	0.913612572
0.359	0.313883312	0.9156955
0.36	0.314605113	0.91780122
0.361	0.314543643	0.917621892
0.362	0.314975616	0.918882091
0.363	0.316321858	0.9228095
0.364	0.315648931	0.920846362
0.365	0.312693417	0.912224206
0.366	0.315157485	0.91941266
0.367	0.316284336	0.922700036
0.368	0.316082329	0.922110717
0.369	0.316756083	0.924076269
0.37	0.317680278	0.926772434
0.371	0.317559474	0.92642001
0.372	0.316926075	0.92457219
0.373	0.317742561	0.926954133
0.374	0.317661619	0.926718001
0.375	0.317431095	0.926045489
0.376	0.317779891	0.927063038
0.377	0.318497235	0.929155751
0.378	0.318269591	0.928491645
0.379	0.318070258	0.927910127
0.38	0.318882792	0.930280543
0.381	0.318155867	0.928159875
0.382	0.317810316	0.927151796
0.383	0.318464885	0.929061377
0.384	0.319467498	0.931986312
0.385	0.318839225	0.930153443
0.386	0.318187112	0.928251026
0.387	0.318564162	0.929351
0.388	0.319330424	0.931586425
0.389	0.318910658	0.930361837
0.39	0.318746036	0.929881584
0.391	0.320095354	0.933817965
0.392	0.320212379	0.934159361
0.393	0.319850656	0.933104103
0.394	0.319658917	0.932544742
0.395	0.320011696	0.933573906
0.396	0.319904047	0.933259863
0.397	0.319909148	0.933274744
0.398	0.320228913	0.934207597
0.399	0.320227723	0.934204126
0.4	0.320723444	0.935650299
0.401	0.321138686	0.936861689
0.402	0.320921698	0.936228666
0.403	0.320804496	0.935886752
0.404	0.321004755	0.936470972
0.405	0.321233902	0.937139464
0.406	0.321018095	0.936509887
0.407	0.321072538	0.936668714
0.408	0.321271429	0.937248942
0.409	0.321385438	0.937581543
0.41	0.321157337	0.936916101
0.411	0.321626322	0.938284276
0.412	0.322121377	0.939728505
0.413	0.321997974	0.9393685
0.414	0.322355484	0.940411467
0.415	0.322416338	0.940588997
0.416	0.322284833	0.940205358
0.417	0.322568654	0.941033351
0.418	0.323001411	0.942295838
0.419	0.323344933	0.943297999
0.42	0.323471895	0.943668388
0.421	0.323378738	0.94339662
0.422	0.323708429	0.944358431
0.423	0.324098048	0.945495071
0.424	0.32411953	0.94555774
0.425	0.324256994	0.945958764
0.426	0.324397039	0.946367322
0.427	0.324589101	0.946927626
0.428	0.32497355	0.948049183
0.429	0.32525743	0.94887735
0.43	0.325526017	0.949660901
0.431	0.325830886	0.9505503
0.432	0.326054432	0.951202454
0.433	0.32634585	0.952052611
0.434	0.326652559	0.952947376
0.435	0.326886789	0.953630697
0.436	0.327128319	0.954335315
0.437	0.327335144	0.95493869
0.438	0.327525288	0.955493398
0.439	0.327764418	0.956191016
0.44	0.327930378	0.956675171
0.441	0.328101138	0.957173332
0.442	0.328343725	0.957881035
0.443	0.328632894	0.958724629
0.444	0.328869135	0.95941382
0.445	0.329055752	0.959958238
0.446	0.329247274	0.96051697
0.447	0.32951825	0.961307491
0.448	0.329683858	0.961790621
0.449	0.329768721	0.962038192
0.45	0.330046536	0.962848664
0.451	0.330326635	0.9636658
0.452	0.330556114	0.964335262
0.453	0.330750774	0.964903147
0.454	0.331044487	0.965759999
0.455	0.331273817	0.966429026
0.456	0.331463059	0.966981105
0.457	0.331714975	0.967716021
0.458	0.331808739	0.96798956
0.459	0.331991704	0.968523325
0.46	0.332303195	0.969432043
0.461	0.332389528	0.969683902
0.462	0.332523412	0.970074483
0.463	0.332720203	0.970648587
0.464	0.332918054	0.971225778
0.465	0.33304247	0.971588739
0.466	0.333294839	0.972324977
0.467	0.333611462	0.973248666
0.468	0.333736693	0.973614003
0.469	0.333833432	0.973896222
0.47	0.334074762	0.974600256
0.471	0.334440265	0.975666542
0.472	0.334471058	0.975756374
0.473	0.334656328	0.976296866
0.474	0.334970475	0.977213332
0.475	0.335200078	0.977883156
0.476	0.335267042	0.978078509
0.477	0.335405396	0.978482131
0.478	0.335648997	0.97919279
0.479	0.335793352	0.97961392
0.48	0.336048437	0.980358083
0.481	0.336322225	0.981156808
0.482	0.336520262	0.981734542
0.483	0.336742008	0.982381444
0.484	0.336968156	0.983041189
0.485	0.337169088	0.983627371
0.486	0.337323375	0.984077473
0.487	0.337532005	0.984686113
0.488	0.337777343	0.985401839
0.489	0.338017615	0.986102788
0.49	0.338192592	0.98661325
0.491	0.338401468	0.987222606
0.492	0.338632836	0.987897581
0.493	0.338845233	0.988517207
0.494	0.339032528	0.989063607
0.495	0.339205819	0.989569151
0.496	0.339361904	0.990024497
0.497	0.339489324	0.990396222
0.498	0.33969045	0.990982971
0.499	0.339826374	0.991379502
0.5	0.339848292	0.991443443
0.501	0.340026067	0.99196207
0.502	0.3402747	0.992687409
0.503	0.340505431	0.993360522
0.504	0.340647291	0.993774373
0.505	0.340811746	0.99425414
0.506	0.341010062	0.994832688
0.507	0.34120571	0.995403456
0.508	0.341310606	0.99570947
0.509	0.341472571	0.996181972
0.51	0.341585954	0.996512747
0.511	0.341567928	0.996460157
0.512	0.341674041	0.996769722
0.513	0.341850177	0.997283567
0.514	0.342049574	0.997865269
0.515	0.342234391	0.998404439
0.516	0.342362998	0.998779624
0.517	0.342375841	0.998817093
0.518	0.342310091	0.99862528
0.519	0.342418448	0.99894139
0.52	0.34248991	0.999149868
0.521	0.342505764	0.999196118
0.522	0.34252807	0.999261193
0.523	0.342618989	0.99952643
0.524	0.342694227	0.999745922
0.525	0.342713746	0.999802866
0.526	0.342705549	0.999778953
0.527	0.342732137	0.99985652
0.528	0.342759398	0.999936048
0.529	0.342748177	0.999903313
0.53	0.342730579	0.999851975
0.531	0.342757559	0.999930682
0.532	0.34278132	1
0.533	0.342701453	0.999767004
0.534	0.342697723	0.999756122
0.535	0.342625735	0.999546111
0.536	0.342423167	0.998955158
0.537	0.342293626	0.998577246
0.538	0.34214855	0.998154012
0.539	0.341986501	0.997681267
0.54	0.341819284	0.997193442
0.541	0.34155601	0.99642539
0.542	0.341270754	0.99559321
0.543	0.341030898	0.994893475
0.544	0.340880644	0.994455137
0.545	0.340751637	0.994078784
0.546	0.340632274	0.993730564
0.547	0.340540814	0.993463748
0.548	0.340542217	0.993467841
0.549	0.340595074	0.993622039
0.55	0.340671518	0.99384505
0.551	0.340757533	0.994095984
0.552	0.340875719	0.994440768
0.553	0.341033301	0.994900486
0.554	0.341217858	0.995438894
0.555	0.341382182	0.995918278
0.556	0.341531447	0.996353732
0.557	0.34166587	0.996745885
0.558	0.341783816	0.99708997
0.559	0.341881191	0.997374043
0.56	0.341908343	0.997453255
0.561	0.341854458	0.997296055
0.562	0.341758556	0.997016281
0.563	0.341656734	0.996719232
0.564	0.341546148	0.996396619
0.565	0.341411573	0.996004021
0.566	0.341231734	0.995479374
0.567	0.341080112	0.995037048
0.568	0.341034026	0.9949026
0.569	0.341148543	0.995236682
0.57	0.341192913	0.995366123
0.571	0.34121823	0.995439979
0.572	0.341285391	0.995635909
0.573	0.341384566	0.995925234
0.574	0.341410112	0.995999761
0.575	0.341416548	0.996018537
0.576	0.341490927	0.996235522
0.577	0.341450005	0.996116139
0.578	0.341462516	0.996152637
0.579	0.341435215	0.996072994
0.58	0.340923346	0.994579712
0.581	0.340191159	0.992443695
0.582	0.339368349	0.990043301
0.583	0.33855595	0.987673279
0.584	0.33782603	0.985543876
0.585	0.337348883	0.984151889
0.586	0.33700187	0.983139542
0.587	0.336496851	0.981666247
