NaClO4.2H2O 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.35	0.174098359	0.832654656
0.351	0.16927756	0.809598373
0.352	0.171835297	0.821831181
0.353	0.174580036	0.83495836
0.354	0.171003436	0.81785267
0.355	0.169922501	0.812682916
0.356	0.171488499	0.820172563
0.357	0.173035439	0.827571062
0.358	0.171524233	0.820343468
0.359	0.171074116	0.818190705
0.36	0.170690541	0.816356196
0.361	0.170072384	0.813399754
0.362	0.170095356	0.81350962
0.363	0.171028072	0.817970495
0.364	0.170033395	0.813213282
0.365	0.166898909	0.798222079
0.366	0.16915012	0.808988872
0.367	0.169932957	0.81273292
0.368	0.169576109	0.811026237
0.369	0.1705162	0.81552238
0.37	0.170975503	0.817719072
0.371	0.170614607	0.815993026
0.372	0.170385928	0.81489933
0.373	0.171992254	0.822581857
0.374	0.171720103	0.821280248
0.375	0.171289653	0.819221549
0.376	0.172103478	0.823113805
0.377	0.173281315	0.828747007
0.378	0.173390162	0.829267586
0.379	0.173580219	0.830176566
0.38	0.174966788	0.836808063
0.381	0.174339818	0.833809474
0.382	0.174591572	0.835013532
0.383	0.176300458	0.843186567
0.384	0.178005365	0.85134057
0.385	0.17737686	0.848334638
0.386	0.177269979	0.84782346
0.387	0.178943543	0.855827563
0.388	0.179926705	0.860529703
0.389	0.179926638	0.860529381
0.39	0.180568591	0.86359963
0.391	0.182808483	0.87431229
0.392	0.18294384	0.874959656
0.393	0.183044874	0.875442869
0.394	0.183748524	0.878808194
0.395	0.184602852	0.882894159
0.396	0.184945005	0.884530565
0.397	0.18552967	0.88732682
0.398	0.186532122	0.89212122
0.399	0.18700538	0.894384653
0.4	0.188263828	0.900403393
0.401	0.189428211	0.905972252
0.402	0.189638315	0.90697711
0.403	0.189999421	0.908704156
0.404	0.190747347	0.912281239
0.405	0.191477733	0.915774435
0.406	0.1915545	0.916141584
0.407	0.191769593	0.917170302
0.408	0.19214215	0.918952121
0.409	0.192463803	0.920490477
0.41	0.192315917	0.919783189
0.411	0.192818989	0.922189216
0.412	0.193287778	0.92443128
0.413	0.193111453	0.923587974
0.414	0.193669741	0.926258078
0.415	0.193948953	0.927593456
0.416	0.193865091	0.927192375
0.417	0.193934329	0.927523514
0.418	0.194292103	0.929234631
0.419	0.194640193	0.93089943
0.42	0.19478967	0.931614326
0.421	0.194777852	0.931557809
0.422	0.195082846	0.933016491
0.423	0.195516559	0.9350908
0.424	0.19577983	0.936349936
0.425	0.19595835	0.937203736
0.426	0.196016151	0.937480179
0.427	0.196124381	0.93799781
0.428	0.196542211	0.939996148
0.429	0.196790791	0.941185027
0.43	0.197013612	0.942250707
0.431	0.19732002	0.943716151
0.432	0.197605273	0.945080421
0.433	0.197773374	0.945884393
0.434	0.197939026	0.946676655
0.435	0.198234808	0.948091279
0.436	0.19853459	0.949525038
0.437	0.198719187	0.950407906
0.438	0.19887157	0.9511367
0.439	0.199221203	0.952808881
0.44	0.199385551	0.953594903
0.441	0.199474835	0.954021917
0.442	0.199627952	0.954754225
0.443	0.199859225	0.955860328
0.444	0.20000037	0.956535375
0.445	0.200110055	0.957059962
0.446	0.200316519	0.958047413
0.447	0.200551766	0.959172522
0.448	0.200669931	0.959737666
0.449	0.200719804	0.959976192
0.45	0.200966226	0.961154745
0.451	0.201184981	0.96220098
0.452	0.201363056	0.96305265
0.453	0.201538847	0.963893402
0.454	0.201772366	0.965010244
0.455	0.201883069	0.9655397
0.456	0.201950228	0.965860899
0.457	0.20215901	0.966859434
0.458	0.202220055	0.967151396
0.459	0.202347543	0.967761125
0.46	0.202600356	0.968970246
0.461	0.202719557	0.969540347
0.462	0.202856215	0.970193937
0.463	0.203034269	0.97104551
0.464	0.203211591	0.971893582
0.465	0.203206793	0.971870634
0.466	0.203349755	0.972554373
0.467	0.203605049	0.973775358
0.468	0.203658517	0.97403108
0.469	0.203640693	0.973945833
0.47	0.203776796	0.974596768
0.471	0.204069595	0.975997128
0.472	0.20398501	0.975592589
0.473	0.204104487	0.976164005
0.474	0.204360121	0.977386618
0.475	0.20447446	0.977933464
0.476	0.204499021	0.978050929
0.477	0.204616466	0.97861263
0.478	0.204820688	0.97958936
0.479	0.204895357	0.979946477
0.48	0.205095207	0.980902292
0.481	0.205300317	0.981883263
0.482	0.205388523	0.982305123
0.483	0.205472001	0.982704374
0.484	0.205619957	0.983411998
0.485	0.205770531	0.98413214
0.486	0.205813732	0.984338755
0.487	0.205947723	0.984979594
0.488	0.206114386	0.985776687
0.489	0.206243041	0.986392001
0.49	0.206283819	0.986587028
0.491	0.206424062	0.987257762
0.492	0.206613549	0.988164017
0.493	0.206753901	0.988835275
0.494	0.206900783	0.98953776
0.495	0.207050734	0.990254925
0.496	0.207151071	0.990734805
0.497	0.207125047	0.990610344
0.498	0.207257017	0.99124151
0.499	0.207356738	0.991718445
0.5	0.207320122	0.991543319
0.501	0.207469459	0.992257548
0.502	0.207660333	0.993170437
0.503	0.207790039	0.993790779
0.504	0.207809787	0.993885228
0.505	0.20794118	0.994513637
0.506	0.208093008	0.99523978
0.507	0.20817502	0.995632012
0.508	0.208134131	0.995436455
0.509	0.208247659	0.995979423
0.51	0.208362043	0.996526486
0.511	0.20831851	0.99631828
0.512	0.208406002	0.996736724
0.513	0.208535863	0.997357807
0.514	0.208644404	0.997876921
0.515	0.208699845	0.998142078
0.516	0.208765479	0.998455985
0.517	0.208790572	0.998575994
0.518	0.208775497	0.998503897
0.519	0.208881932	0.999012939
0.52	0.208921291	0.999201182
0.521	0.208902149	0.999109629
0.522	0.208907117	0.999133392
0.523	0.208934874	0.999266143
0.524	0.208981998	0.999491522
0.525	0.209022518	0.999685315
0.526	0.209004832	0.999600729
0.527	0.209034444	0.999742354
0.528	0.209056532	0.999847993
0.529	0.209023991	0.999692362
0.53	0.2090665	0.999895668
0.531	0.209088315	1
0.532	0.209063452	0.999881089
0.533	0.209022505	0.999685255
0.534	0.209033325	0.999737001
0.535	0.208987779	0.999519171
0.536	0.208850713	0.998863629
0.537	0.20879349	0.998589951
0.538	0.208710406	0.99819259
0.539	0.208604944	0.997688197
0.54	0.208510594	0.997236955
0.541	0.208393719	0.99667798
0.542	0.208248921	0.995985458
0.543	0.208107219	0.995307746
0.544	0.208038446	0.994978828
0.545	0.207952572	0.99456812
0.546	0.207870855	0.994177293
0.547	0.207828795	0.993976134
0.548	0.207815073	0.993910505
0.549	0.207810532	0.993888788
0.55	0.207810749	0.993889826
0.551	0.207822563	0.99394633
0.552	0.207849254	0.994073984
0.553	0.207901666	0.994324651
0.554	0.20797694	0.994684665
0.555	0.208045293	0.995011574
0.556	0.20808634	0.995207889
0.557	0.208120083	0.995369267
