NaClO4 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.35	0.259967898	0.751337282
0.351	0.256713692	0.74193225
0.352	0.258619072	0.74743902
0.353	0.260774153	0.753667453
0.354	0.258714349	0.747714381
0.355	0.258825054	0.748034331
0.356	0.260806043	0.753759618
0.357	0.262264895	0.75797587
0.358	0.26081003	0.753771139
0.359	0.261027602	0.754399948
0.36	0.261431444	0.755567098
0.361	0.261417766	0.755527567
0.362	0.261857362	0.75679805
0.363	0.262853042	0.759675681
0.364	0.262168087	0.757696081
0.365	0.259759628	0.750735356
0.366	0.261954592	0.757079058
0.367	0.262831177	0.759612487
0.368	0.262798758	0.759518793
0.369	0.264020396	0.763049471
0.37	0.26442821	0.7642281
0.371	0.26409924	0.763277338
0.372	0.263820721	0.762472385
0.373	0.264702281	0.765020195
0.374	0.264583768	0.764677678
0.375	0.264367311	0.764052094
0.376	0.264830079	0.765389547
0.377	0.265578444	0.767552408
0.378	0.265618947	0.767669465
0.379	0.26586405	0.768377844
0.38	0.267042367	0.771783316
0.381	0.266058575	0.768940042
0.382	0.265963848	0.768666269
0.383	0.267300553	0.772529503
0.384	0.268461362	0.775884375
0.385	0.267585652	0.773353471
0.386	0.267051427	0.7718095
0.387	0.268045137	0.774681436
0.388	0.268895257	0.77713838
0.389	0.268477488	0.775930979
0.39	0.268494226	0.775979354
0.391	0.270212872	0.780946441
0.392	0.270093186	0.780600534
0.393	0.269941046	0.780160833
0.394	0.270285909	0.781157527
0.395	0.270696932	0.78234543
0.396	0.270647881	0.782203667
0.397	0.270877748	0.782868008
0.398	0.27152316	0.784733324
0.399	0.271607511	0.784977109
0.4	0.272165141	0.786588724
0.401	0.272748095	0.788273528
0.402	0.272830396	0.788511387
0.403	0.272925519	0.788786304
0.404	0.273227559	0.789659236
0.405	0.273564801	0.790633904
0.406	0.273593276	0.790716198
0.407	0.27345392	0.790313444
0.408	0.273473338	0.790369564
0.409	0.273669122	0.790935404
0.41	0.27358019	0.790678379
0.411	0.274044719	0.792020921
0.412	0.274512678	0.793373378
0.413	0.274505627	0.793353
0.414	0.275135236	0.795172641
0.415	0.27534604	0.795781888
0.416	0.275241019	0.795478366
0.417	0.275591576	0.796491518
0.418	0.276074529	0.797887306
0.419	0.276389982	0.798799001
0.42	0.276443087	0.798952482
0.421	0.276406534	0.798846839
0.422	0.276795101	0.799969844
0.423	0.27729789	0.801422962
0.424	0.277524227	0.802077102
0.425	0.277766918	0.802778507
0.426	0.277953346	0.803317305
0.427	0.27813979	0.803856151
0.428	0.278449395	0.804750944
0.429	0.278598818	0.805182793
0.43	0.278858333	0.805932822
0.431	0.279327364	0.807288376
0.432	0.279671679	0.808283485
0.433	0.279964666	0.809130254
0.434	0.280229955	0.809896968
0.435	0.280486002	0.810636974
0.436	0.280771608	0.81146241
0.437	0.280957394	0.811999351
0.438	0.281138114	0.812521653
0.439	0.281575921	0.813786965
0.44	0.281825491	0.814508253
0.441	0.282031349	0.815103206
0.442	0.282323885	0.815948668
0.443	0.282555768	0.816618839
0.444	0.282791684	0.817300661
0.445	0.283039399	0.818016588
0.446	0.283283707	0.818722665
0.447	0.283524214	0.819417758
0.448	0.283660831	0.819812598
0.449	0.283760213	0.820099822
0.45	0.284074166	0.821007183
