MgCl2.6H2O 80K NIR reflectance spectra from 0.35-2.5um		
This is the data used to create Figure 2		
		
Wavelength (um)	% Reflectance	normalized
0.35	0.423430696	0.91557666
0.351	0.426323667	0.92183208
0.352	0.428685824	0.92693973
0.353	0.430528218	0.930923506
0.354	0.432189927	0.934516591
0.355	0.432635148	0.935479283
0.356	0.432611655	0.935428486
0.357	0.433058709	0.936395142
0.358	0.434578027	0.939680336
0.359	0.435090076	0.940787531
0.36	0.436563783	0.943974101
0.361	0.438521425	0.948207075
0.362	0.437787665	0.94662048
0.363	0.439125372	0.94951298
0.364	0.440030965	0.951471127
0.365	0.438756906	0.948716252
0.366	0.438529412	0.948224345
0.367	0.439145017	0.949555457
0.368	0.440213447	0.951865704
0.369	0.441043608	0.953660748
0.37	0.440202143	0.951841263
0.371	0.440319256	0.952094493
0.372	0.441615155	0.954896593
0.373	0.442054868	0.955847377
0.374	0.441488017	0.954621685
0.375	0.441653246	0.954978956
0.376	0.442898387	0.957671303
0.377	0.442213414	0.956190198
0.378	0.441852336	0.955409446
0.379	0.441751705	0.955191854
0.38	0.441439891	0.954517623
0.381	0.44208137	0.955904683
0.382	0.442279316	0.956332697
0.383	0.44182119	0.9553421
0.384	0.4414976	0.954642407
0.385	0.442180452	0.956118926
0.386	0.442932026	0.957744041
0.387	0.442984813	0.957858182
0.388	0.442231172	0.956228597
0.389	0.441815375	0.955329526
0.39	0.44173829	0.955162845
0.391	0.441827246	0.955355194
0.392	0.442729602	0.957306342
0.393	0.443606966	0.95920345
0.394	0.443842626	0.959713014
0.395	0.44320796	0.958340688
0.396	0.443118249	0.958146707
0.397	0.443357061	0.958663086
0.398	0.443521799	0.959019296
0.399	0.443238546	0.958406822
0.4	0.443798039	0.959616605
0.401	0.44402058	0.960097801
0.402	0.443038169	0.957973552
0.403	0.443321257	0.958585667
0.404	0.443497211	0.958966129
0.405	0.443180073	0.958280389
0.406	0.442697932	0.957237862
0.407	0.442609229	0.957046062
0.408	0.442932432	0.957744918
0.409	0.44346423	0.958894816
0.41	0.443828433	0.959682324
0.411	0.443979213	0.960008355
0.412	0.444041288	0.960142578
0.413	0.444199462	0.960484594
0.414	0.444668634	0.961499077
0.415	0.444968421	0.962147302
0.416	0.445028033	0.9622762
0.417	0.445052884	0.962329933
0.418	0.445177794	0.962600023
0.419	0.445263275	0.962784858
0.42	0.445406737	0.963095065
0.421	0.446172867	0.964751653
0.422	0.44630271	0.965032409
0.423	0.446229275	0.964873624
0.424	0.446561891	0.965592832
0.425	0.446616473	0.965710855
0.426	0.446739874	0.965977682
0.427	0.447042193	0.966631382
0.428	0.447423234	0.967455299
0.429	0.447563077	0.96775768
0.43	0.447846708	0.96837097
0.431	0.44840041	0.969568231
0.432	0.448707364	0.97023195
0.433	0.449060062	0.970994584
0.434	0.449363087	0.97164981
0.435	0.449489572	0.971923305
0.436	0.449709854	0.972399617
0.437	0.450038999	0.973111322
0.438	0.450343453	0.973769636
0.439	0.450404702	0.973902076
0.44	0.450685778	0.97450984
0.441	0.451048241	0.975293587
0.442	0.45131023	0.975860083
0.443	0.451424102	0.976106304
0.444	0.451645538	0.976585111
0.445	0.451934487	0.977209901
0.446	0.452146649	0.977668656
0.447	0.452351229	0.978111016
0.448	0.452460281	0.978346816
0.449	0.452596558	0.978641487
0.45	0.453112153	0.979756347
0.451	0.453273814	0.980105904
0.452	0.453272495	0.980103053
0.453	0.453418816	0.98041944
0.454	0.453716581	0.981063291
0.455	0.454015993	0.981710705
0.456	0.454240745	0.982196683
0.457	0.454373387	0.982483492
0.458	0.454473215	0.982699349
0.459	0.454639002	0.983057826
0.46	0.454839203	0.983490718
0.461	0.454834363	0.983480253
0.462	0.454997457	0.983832908
0.463	0.45531366	0.984516627
0.464	0.455637808	0.985217526
0.465	0.455832204	0.985637865
0.466	0.455921077	0.985830033
0.467	0.455951254	0.985895286
0.468	0.455989053	0.985977018
0.469	0.456155758	0.986337481
0.47	0.456370094	0.986800935
0.471	0.456562165	0.987216247
0.472	0.456772573	0.987671209
0.473	0.4568925	0.987930525
0.474	0.457008078	0.988180437
0.475	0.457233963	0.988668864
0.476	0.457384715	0.988994833
0.477	0.457419631	0.989070332
0.478	0.457471585	0.989182671
0.479	0.457834516	0.989967428
0.48	0.457969624	0.990259571
0.481	0.458044025	0.990420446
0.482	0.458266885	0.990902334
0.483	0.458481915	0.991367289
0.484	0.458669076	0.991771984
0.485	0.458842174	0.99214627
0.486	0.459020243	0.992531305
0.487	0.459023517	0.992538386
0.488	0.459176847	0.992869927
0.489	0.459533621	0.993641374
0.49	0.459621902	0.993832261
0.491	0.459734074	0.99407481
0.492	0.459905021	0.994444446
0.493	0.460093944	0.99485295
0.494	0.46028011	0.995255493
0.495	0.460430207	0.995580046
0.496	0.46053947	0.995816303
0.497	0.460633607	0.996019854
0.498	0.46083703	0.996459713
0.499	0.461022526	0.996860807
0.5	0.461094389	0.997016195
0.501	0.461139557	0.997113861
0.502	0.46119729	0.997238697
0.503	0.461323917	0.997512499
0.504	0.461542342	0.997984795
0.505	0.461630476	0.998175365
0.506	0.46165925	0.998237584
0.507	0.461724129	0.99837787
0.508	0.461918879	0.998798974
0.509	0.461916416	0.998793648
0.51	0.461842875	0.998634634
0.511	0.461909269	0.998778195
0.512	0.462159941	0.999320219
0.513	0.462310996	0.999646843
0.514	0.462335738	0.999700341
0.515	0.462403418	0.999846684
0.516	0.462448497	0.999944158
0.517	0.462474322	1
0.518	0.46247396	0.999999216
0.519	0.462385501	0.999807943
0.52	0.462348526	0.999727992
0.521	0.462357695	0.999747819
0.522	0.462345885	0.999722282
0.523	0.462276115	0.999571421
0.524	0.46220785	0.999423812
0.525	0.462155387	0.999310373
0.526	0.462068143	0.999121725
0.527	0.462015425	0.999007734
0.528	0.461956236	0.998879752
0.529	0.461852278	0.998654964
0.53	0.461771624	0.998480568
0.531	0.461699493	0.9983246
0.532	0.461610374	0.998131901
0.533	0.461473367	0.997835653
0.534	0.461278633	0.997414582
0.535	0.461086587	0.996999324
0.536	0.460906355	0.996609613
0.537	0.460624243	0.995999606
0.538	0.46025412	0.995199295
0.539	0.459893446	0.994419417
0.54	0.459640415	0.993872292
0.541	0.459365203	0.993277207
0.542	0.459100281	0.99270437
0.543	0.458827314	0.99211414
0.544	0.45845608	0.991311426
0.545	0.458194463	0.990745737
0.546	0.457972928	0.990266716
0.547	0.457717901	0.989715276
0.548	0.457583473	0.989424603
0.549	0.457529325	0.989307521
0.55	0.457515492	0.98927761
0.551	0.457507899	0.989261191
0.552	0.4575324	0.989314169
0.553	0.457621871	0.989507631
0.554	0.457773762	0.989836062
0.555	0.457910061	0.990130779
0.556	0.45806659	0.990469238
0.557	0.458221126	0.990803388
0.558	0.458341212	0.99106305
0.559	0.458482471	0.99136849
0.56	0.458546103	0.991506082
0.561	0.458478014	0.991358855
0.562	0.458292257	0.990957194
0.563	0.457978101	0.9902779
0.564	0.45764518	0.989558032
0.565	0.457354563	0.988929637
0.566	0.456883696	0.987911489
0.567	0.456438109	0.986948003
0.568	0.456185628	0.986402069
0.569	0.456232369	0.986503135
0.57	0.45632115	0.986695105
0.571	0.456510197	0.987103878
0.572	0.456851953	0.987842851
0.573	0.457288562	0.988786923
0.574	0.457742047	0.989767486
0.575	0.458122667	0.990590493
0.576	0.458333876	0.991047187
0.577	0.458236696	0.990837055
0.578	0.458136328	0.990620033
0.579	0.45804495	0.990422447
0.58	0.457571445	0.989398595
0.581	0.456963024	0.988083018
0.582	0.456106757	0.986231527
0.583	0.454912255	0.983648676
0.584	0.453615617	0.980844978
0.585	0.452583902	0.97861412
0.586	0.451708368	0.976720969
0.587	0.45058929	0.974301205
0.588	0.449831722	0.97266313
0.589	0.449328822	0.971575718
0.59	0.448915728	0.970682493
0.591	0.448497348	0.969777837
0.592	0.448609508	0.970020359
0.593	0.448999891	0.970864477
0.594	0.449168124	0.971228245
0.595	0.449360582	0.971644392
0.596	0.449482332	0.971907651
0.597	0.449343337	0.971607104
0.598	0.448667772	0.970146341
0.599	0.448208495	0.969153256
0.6	0.447854493	0.968387802
0.601	0.44737358	0.967347933
0.602	0.446940087	0.966410599
0.603	0.446852692	0.966221627
0.604	0.446869898	0.966258831
0.605	0.446414201	0.965273486
0.606	0.445885184	0.964129601
0.607	0.445557287	0.963420595
0.608	0.445431534	0.963148682
0.609	0.444939247	0.962084219
0.61	0.444687725	0.961540358
0.611	0.44470246	0.961572217
0.612	0.44472918	0.961629995
0.613	0.444342234	0.960793308
0.614	0.443993109	0.960038402
0.615	0.443911593	0.959862141
0.616	0.443975241	0.959999766
0.617	0.443592741	0.959172694
0.618	0.4431292	0.958170386
0.619	0.443011209	0.957915256
0.62	0.443020971	0.957936364
0.621	0.442706399	0.957256171
0.622	0.442227812	0.956221331
0.623	0.442127211	0.956003803
0.624	0.44205891	0.955856117
0.625	0.441814705	0.955328077
0.626	0.44142045	0.954475587
0.627	0.441327567	0.954274747
0.628	0.441292942	0.954199877
0.629	0.441132371	0.953852679
0.63	0.440767813	0.9530644
0.631	0.440614563	0.952733032
0.632	0.440567484	0.952631233
0.633	0.44048735	0.952457961
0.634	0.440244706	0.951933295
0.635	0.440024872	0.951457953
0.636	0.43993402	0.951261505
0.637	0.439952564	0.951301603
0.638	0.439749448	0.950862409
0.639	0.439494301	0.950310709
0.64	0.439344912	0.949987687
0.641	0.43940116	0.950109313
0.642	0.439285471	0.94985916
0.643	0.439090638	0.949437876
0.644	0.438913409	0.949054655
0.645	0.438738533	0.948676526
0.646	0.438676282	0.948541921
0.647	0.438563786	0.948298672
0.648	0.438256339	0.947633885
0.649	0.438157551	0.947420279
0.65	0.438143955	0.947390881
0.651	0.438092172	0.94727891
0.652	0.43791111	0.946887403
0.653	0.437658895	0.946342044
0.654	0.437491626	0.945980359
0.655	0.437469485	0.945932485
0.656	0.437370321	0.945718064
0.657	0.43718447	0.945316202
0.658	0.436996697	0.944910184
0.659	0.436916585	0.944736959
0.66	0.436808658	0.94450359
0.661	0.436624033	0.94410438
0.662	0.436408138	0.943637554
0.663	0.436324365	0.943456413
0.664	0.436234789	0.943262724
0.665	0.436099859	0.942970968
0.666	0.435923359	0.942589325
0.667	0.435751524	0.942217769
0.668	0.435649995	0.941998233
0.669	0.435589901	0.941868294
0.67	0.435475367	0.94162064
0.671	0.435330079	0.941306485
0.672	0.435151663	0.940920699
0.673	0.434981631	0.940553043
0.674	0.434974933	0.940538559
0.675	0.434848074	0.940264254
0.676	0.434641953	0.939818562
0.677	0.434495062	0.939500942
0.678	0.434343662	0.939173574
0.679	0.434168978	0.938795857
0.68	0.434003763	0.938438616
0.681	0.433925828	0.938270098
0.682	0.433791425	0.937979482
0.683	0.433654811	0.937684084
0.684	0.433576628	0.93751503
0.685	0.433522125	0.93739718
0.686	0.43343338	0.937205287
0.687	0.433341036	0.937005613
0.688	0.433297065	0.936910537
0.689	0.43313764	0.936565813
0.69	0.432914693	0.93608374
0.691	0.432703575	0.935627242
0.692	0.432577727	0.935355123
0.693	0.432504827	0.935197493
0.694	0.432446557	0.935071498
0.695	0.432372394	0.934911135
0.696	0.432292343	0.934738044
0.697	0.432204957	0.93454909
0.698	0.432089624	0.934299708
0.699	0.43192283	0.933939052
0.7	0.431782699	0.933636048
0.701	0.431660374	0.933371549
0.702	0.431545454	0.933123059
0.703	0.431450421	0.932917569
0.704	0.431312107	0.932618496
0.705	0.431183888	0.93234125
0.706	0.431112542	0.932186981
0.707	0.430937438	0.931808356
0.708	0.430748631	0.931400102
0.709	0.430596913	0.931072045
0.71	0.430486203	0.93083266
0.711	0.430360233	0.930560275
0.712	0.430201421	0.930216879
0.713	0.430015237	0.929814298
0.714	0.429835978	0.929426688
0.715	0.429679056	0.92908738
0.716	0.429491117	0.928681002
0.717	0.429229515	0.928115344
0.718	0.429052746	0.927733121
0.719	0.428879457	0.927358419
0.72	0.428665874	0.926896594
0.721	0.428419259	0.926363342
0.722	0.428148541	0.925777975
0.723	0.427918366	0.925280271
0.724	0.427744056	0.924903363
0.725	0.427512634	0.924402963
0.726	0.427200019	0.923727002
0.727	0.426858535	0.922988616
0.728	0.426563976	0.922351697
0.729	0.42629707	0.92177457
0.73	0.425966771	0.92106037
0.731	0.425567062	0.920196087
0.732	0.425184015	0.919367832
0.733	0.424816116	0.918572331
0.734	0.424425466	0.917727635
0.735	0.423985994	0.916777372
0.736	0.423513274	0.915755219
0.737	0.42310141	0.914864651
0.738	0.422729542	0.914060569
0.739	0.422320094	0.913175227
0.74	0.421804055	0.912059404
0.741	0.421341192	0.911058563
0.742	0.420969356	0.91025455
0.743	0.42058013	0.909412932
0.744	0.420168043	0.908521886
0.745	0.41978029	0.907683454
0.746	0.419449199	0.906967542
0.747	0.419146757	0.906313577
0.748	0.418786918	0.905535503
0.749	0.418370066	0.90463415
0.75	0.417946441	0.903718155
0.751	0.417585781	0.902938305
0.752	0.417268004	0.902251183
0.753	0.41694863	0.901560605
0.754	0.416571501	0.900745147
0.755	0.41619	0.899920232
0.756	0.41578769	0.899050325
0.757	0.415370897	0.898149101
0.758	0.415030236	0.897412497
0.759	0.414708087	0.89671592
0.76	0.414423517	0.896100598
0.761	0.41420979	0.895638461
0.762	0.41402922	0.895248018
0.763	0.413819655	0.894794879
0.764	0.413602145	0.89432456
0.765	0.413471774	0.894042661
0.766	0.413470826	0.894040612
0.767	0.41352944	0.894167352
0.768	0.413590361	0.89429908
0.769	0.413659818	0.894449266
0.77	0.413787512	0.894725375
0.771	0.413932637	0.895039177
0.772	0.414035643	0.895261906
0.773	0.414091673	0.895383058
0.774	0.41419765	0.89561221
0.775	0.414365735	0.895975658
0.776	0.414540083	0.896352648
0.777	0.414684806	0.896665579
0.778	0.414800725	0.896916229
0.779	0.414903164	0.89713773
0.78	0.415018934	0.897388058
0.781	0.4151037	0.897571346
0.782	0.415183828	0.897744605
0.783	0.415285167	0.897963728
0.784	0.415371007	0.898149339
0.785	0.415436959	0.898291947
0.786	0.415509485	0.898448768
0.787	0.41560889	0.89866371
0.788	0.41559849	0.898641222
0.789	0.415577245	0.898595283
0.79	0.41559482	0.898633286
0.791	0.415623287	0.89869484
0.792	0.415680603	0.898818773
0.793	0.415713806	0.898890568
0.794	0.415704095	0.89886957
0.795	0.415740625	0.898948557
0.796	0.415740775	0.898948882
0.797	0.415713179	0.898889212
0.798	0.415695304	0.89885056
0.799	0.415695667	0.898851346
0.8	0.415707757	0.898877489
0.801	0.415720252	0.898904505
0.802	0.415720955	0.898906026
0.803	0.415708936	0.898880038
0.804	0.415748638	0.898965884
0.805	0.415830358	0.899142586
0.806	0.415835161	0.899152972
0.807	0.415818036	0.899115941
0.808	0.415822443	0.899125471
0.809	0.415868685	0.89922546
0.81	0.415917836	0.899331739
0.811	0.416000136	0.899509694
0.812	0.416108862	0.89974479
0.813	0.416223032	0.899991659
0.814	0.416335803	0.900235501
0.815	0.416466304	0.900517681
0.816	0.416597273	0.900800873
0.817	0.416687175	0.900995266
0.818	0.416771249	0.901177057
0.819	0.416885303	0.901423675
0.82	0.417020435	0.901715869
0.821	0.417104452	0.901897536
0.822	0.417259243	0.902232237
0.823	0.417439991	0.902623067
0.824	0.417581947	0.902930015
0.825	0.417686969	0.903157103
0.826	0.41776137	0.903317978
0.827	0.417849534	0.903508613
0.828	0.417990067	0.903812486
0.829	0.418118259	0.904089673
0.83	0.418239555	0.90435195
0.831	0.418343709	0.904577159
0.832	0.418407186	0.904714416
0.833	0.418402113	0.904703445
0.834	0.418417846	0.904737465
0.835	0.418506325	0.904928783
0.836	0.418645713	0.905230178
0.837	0.418654813	0.905249854
0.838	0.418595804	0.90512226
0.839	0.418549232	0.90502156
0.84	0.418503835	0.904923398
0.841	0.418435119	0.904774815
0.842	0.41833503	0.904558394
0.843	0.418208104	0.904283944
0.844	0.418075126	0.903996409
0.845	0.417947956	0.903721431
0.846	0.417811384	0.903426123
0.847	0.417645979	0.903068471
0.848	0.41751435	0.902783853
0.849	0.417358894	0.902447713
0.85	0.41715143	0.901999115
0.851	0.416909397	0.901475772
0.852	0.416724069	0.901075041
0.853	0.416543428	0.900684444
0.854	0.41635856	0.900284708
0.855	0.416255698	0.900062291
0.856	0.416137608	0.899806948
0.857	0.416022909	0.899558935
0.858	0.415933846	0.899366356
0.859	0.415829898	0.899141591
0.86	0.415757759	0.898985605
0.861	0.415728083	0.898921438
0.862	0.415737181	0.89894111
0.863	0.415783726	0.899041754
0.864	0.415839418	0.899162176
0.865	0.415901283	0.899295946
0.866	0.415984441	0.899475757
0.867	0.416119375	0.899767523
0.868	0.416233153	0.900013543
0.869	0.416331583	0.900226376
0.87	0.416483742	0.900555386
0.871	0.416660309	0.900937174
0.872	0.416810988	0.901262985
0.873	0.416892226	0.901438643
0.874	0.41688089	0.901414133
0.875	0.416842173	0.901330416
0.876	0.416863681	0.901376922
0.877	0.416945204	0.901553196
0.878	0.41693531	0.901531805
0.879	0.416873869	0.90139895
0.88	0.416804618	0.90124921
0.881	0.416750673	0.901132567
0.882	0.41667457	0.90096801
0.883	0.416561042	0.900722531
0.884	0.416455259	0.900493799
0.885	0.416390609	0.900354006
0.886	0.416273559	0.900100912
0.887	0.416156622	0.899848061
0.888	0.416021081	0.899554983
0.889	0.415840963	0.899165517
0.89	0.415746263	0.898960749
0.891	0.415570614	0.898580947
0.892	0.415308882	0.898015007
0.893	0.415069649	0.897497719
0.894	0.414846861	0.897015988
0.895	0.414626151	0.896538751
0.896	0.414392446	0.896033415
0.897	0.414135671	0.895478193
