NaCl 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.35	0.256260774	0.848616948
0.351	0.258040028	0.854509014
0.352	0.260486898	0.862611914
0.353	0.261385596	0.865587983
0.354	0.260026293	0.861086602
0.355	0.260362767	0.862200848
0.356	0.260799216	0.863646165
0.357	0.260791473	0.863620525
0.358	0.260516938	0.862711391
0.359	0.261104412	0.864656833
0.36	0.26201158	0.867660954
0.361	0.262371856	0.86885402
0.362	0.261263211	0.865182701
0.363	0.2624286	0.869041929
0.364	0.263250881	0.871764945
0.365	0.262014906	0.867671968
0.366	0.261989802	0.867588835
0.367	0.26253916	0.869408054
0.368	0.263370209	0.872160102
0.369	0.264138771	0.874705225
0.37	0.263839371	0.87371375
0.371	0.264459245	0.875766486
0.372	0.265875963	0.880457999
0.373	0.266124756	0.881281887
0.374	0.266327463	0.881953159
0.375	0.266907853	0.88387514
0.376	0.267701482	0.886503271
0.377	0.267580318	0.886102034
0.378	0.267804191	0.886843397
0.379	0.267976942	0.887415468
0.38	0.267650801	0.88633544
0.381	0.268645906	0.889630768
0.382	0.269076718	0.891057417
0.383	0.268690424	0.88977819
0.384	0.268585539	0.889430859
0.385	0.269639906	0.892922433
0.386	0.270602024	0.896108522
0.387	0.27067813	0.896360552
0.388	0.270270686	0.895011286
0.389	0.270107118	0.894469623
0.39	0.270302099	0.89511531
0.391	0.270760869	0.896634543
0.392	0.271486408	0.899037192
0.393	0.272371871	0.901969438
0.394	0.272926025	0.903804539
0.395	0.272624865	0.902807234
0.396	0.272789086	0.903351059
0.397	0.273353434	0.905219917
0.398	0.273913046	0.907073094
0.399	0.273819879	0.906764569
0.4	0.274545404	0.90916717
0.401	0.274976707	0.910595445
0.402	0.274305943	0.908374187
0.403	0.275174397	0.911250105
0.404	0.275822065	0.91339488
0.405	0.275852827	0.913496749
0.406	0.275783316	0.913266561
0.407	0.275885321	0.913604354
0.408	0.276403631	0.915320757
0.409	0.277165762	0.917844583
0.41	0.277455499	0.918804057
0.411	0.277805665	0.919963643
0.412	0.278149252	0.921101445
0.413	0.278357822	0.921792132
0.414	0.278612814	0.922636548
0.415	0.278831327	0.923360162
0.416	0.279079682	0.924182597
0.417	0.279480753	0.92551076
0.418	0.279783547	0.926513473
0.419	0.279944413	0.927046186
0.42	0.280148234	0.927721149
0.421	0.280928918	0.930306412
0.422	0.281062397	0.930748431
0.423	0.280963131	0.930419709
0.424	0.28124655	0.931358261
0.425	0.281393871	0.931846121
0.426	0.281565855	0.93241565
0.427	0.281870074	0.933423085
0.428	0.28232113	0.934916772
0.429	0.282402431	0.935186003
0.43	0.282605326	0.935857898
0.431	0.283141414	0.937633173
0.432	0.283476502	0.938742828
0.433	0.283767847	0.939707628
0.434	0.284014304	0.940523779
0.435	0.284176251	0.941060072
0.436	0.28418705	0.941095834
0.437	0.284369512	0.941700063
0.438	0.284699168	0.942791733
0.439	0.284860919	0.943327375
0.44	0.285200732	0.944452679
0.441	0.285559915	0.945642129
0.442	0.285801009	0.946440519
0.443	0.286025505	0.947183946
0.444	0.286308155	0.948119952
0.445	0.286611907	0.949125839
0.446	0.286866627	0.949969351
0.447	0.287151551	0.950912889
0.448	0.287325231	0.951488036
0.449	0.287483582	0.952012423
0.45	0.287989857	0.95368897
0.451	0.288243308	0.954528282
0.452	0.288354648	0.954896989
0.453	0.288551847	0.955550019
0.454	0.288902023	0.95670964
0.455	0.289270272	0.957929112
0.456	0.289548628	0.958850898
0.457	0.289687893	0.959312079
0.458	0.289965909	0.960232737
0.459	0.29029482	0.961321939
0.46	0.290561688	0.962205682
0.461	0.290674206	0.96257829
0.462	0.290951979	0.963498146
0.463	0.291314433	0.964698424
0.464	0.291606303	0.965664965
0.465	0.291907755	0.966663233
0.466	0.292190087	0.967598185
0.467	0.292443777	0.96843829
0.468	0.292676769	0.969209852
0.469	0.292893393	0.969927209
0.47	0.293144211	0.9707578
0.471	0.293440056	0.971737503
0.472	0.293705915	0.972617906
0.473	0.293853881	0.973107901
0.474	0.294031056	0.973694622
0.475	0.294401429	0.974921124
0.476	0.294643588	0.975723044
0.477	0.294818869	0.976303492
0.478	0.295061032	0.977105423
0.479	0.295539594	0.978690199
0.48	0.29576005	0.979420248
0.481	0.295949	0.980045964
0.482	0.2963217	0.981280172
0.483	0.296555302	0.982053755
0.484	0.296760361	0.982732816
0.485	0.296989138	0.983490419
0.486	0.297238109	0.984314895
0.487	0.297276918	0.984443412
0.488	0.297426951	0.984940252
0.489	0.297782768	0.986118553
0.49	0.297978106	0.986765421
0.491	0.298165361	0.987385523
0.492	0.298365082	0.988046906
0.493	0.298566562	0.988714116
0.494	0.298783327	0.989431942
0.495	0.298961323	0.990021383
0.496	0.29908837	0.990442101
0.497	0.299196768	0.990801066
0.498	0.299407281	0.991498187
0.499	0.299641565	0.992274028
0.5	0.299834462	0.992912815
0.501	0.300052612	0.993635224
0.502	0.30024243	0.994263814
0.503	0.300418873	0.994848111
0.504	0.300613865	0.995493834
0.505	0.300745277	0.995929012
0.506	0.300837502	0.996234419
0.507	0.300962499	0.99664835
0.508	0.30124724	0.99759128
0.509	0.301338192	0.997892471
0.51	0.301331601	0.997870644
0.511	0.301418145	0.998157237
0.512	0.301653163	0.99893551
0.513	0.301800528	0.999423511
0.514	0.301823652	0.999500088
0.515	0.301845586	0.999572725
0.516	0.30190047	0.999754475
0.517	0.301959511	0.999949991
0.518	0.301974612	1
0.519	0.3018697	0.999652578
0.52	0.301809778	0.999454145
0.521	0.301768032	0.999315902
0.522	0.301653527	0.998936714
0.523	0.301514486	0.998476275
0.524	0.301368941	0.997994297
0.525	0.301220282	0.997502008
0.526	0.301056359	0.996959169
0.527	0.300937195	0.996564553
0.528	0.300824026	0.99618979
0.529	0.300664716	0.995662229
0.53	0.300447249	0.994942081
0.531	0.300242205	0.994263068
0.532	0.300073354	0.993703914
0.533	0.299927305	0.993220266
0.534	0.299779044	0.992729296
0.535	0.299709351	0.992498504
0.536	0.299739143	0.99259716
0.537	0.299745835	0.992619322
0.538	0.299693213	0.99244506
0.539	0.299676816	0.992390764
0.54	0.299821556	0.992870073
