Mg(ClO4)2.6H2O 80K NIR reflectance spectra from 0.35-2.5m		
Data from Hanley et al. (2014)		
		
Wavelength (um)	% Reflectance	normalized
0.35	0.30116383	0.905592764
0.351	0.298033907	0.896181159
0.352	0.300677936	0.904131693
0.353	0.303305275	0.912032043
0.354	0.300785513	0.904455174
0.355	0.300593643	0.903878227
0.356	0.303010733	0.911146361
0.357	0.305051148	0.917281842
0.358	0.303437376	0.912429266
0.359	0.304085137	0.914377068
0.36	0.304773999	0.916448462
0.361	0.304726145	0.916304566
0.362	0.30539005	0.918300914
0.363	0.306583558	0.921889765
0.364	0.305673627	0.919153621
0.365	0.302653481	0.910072111
0.366	0.304927771	0.91691085
0.367	0.306092896	0.920414356
0.368	0.306016169	0.920183637
0.369	0.306642367	0.9220666
0.37	0.307537799	0.924759144
0.371	0.307342389	0.92417155
0.372	0.306743586	0.922370964
0.373	0.307991633	0.926123814
0.374	0.307879962	0.92578802
0.375	0.307461747	0.924530458
0.376	0.307774982	0.92547235
0.377	0.308520423	0.927713873
0.378	0.30845818	0.927526711
0.379	0.30846228	0.927539038
0.38	0.3093488	0.930204784
0.381	0.308332416	0.927148539
0.382	0.307897614	0.925841101
0.383	0.308814334	0.928597655
0.384	0.310199381	0.932762461
0.385	0.309515836	0.930707057
0.386	0.3087818	0.928499828
0.387	0.309287184	0.930019507
0.388	0.310116428	0.932513024
0.389	0.309652145	0.931116935
0.39	0.309382213	0.930305257
0.391	0.31063655	0.934077019
0.392	0.310675528	0.934194224
0.393	0.310369725	0.933274682
0.394	0.31030357	0.933075755
0.395	0.310686182	0.93422626
0.396	0.310543174	0.933796237
0.397	0.310633054	0.934066505
0.398	0.311163028	0.935660127
0.399	0.311226553	0.935851143
0.4	0.31158854	0.936939631
0.401	0.311960669	0.938058612
0.402	0.311960412	0.938057842
0.403	0.311774967	0.937500211
0.404	0.311859574	0.937754624
0.405	0.312060395	0.938358489
0.406	0.311943088	0.938005747
0.407	0.312135519	0.938584383
0.408	0.312337327	0.939191216
0.409	0.312361891	0.93926508
0.41	0.312312942	0.939117889
0.411	0.312816637	0.940632489
0.412	0.31323446	0.941888875
0.413	0.313068715	0.941390484
0.414	0.313529339	0.942775568
0.415	0.313694235	0.943271407
0.416	0.313572092	0.942904126
0.417	0.313739245	0.943406751
0.418	0.314129893	0.94458142
0.419	0.314489052	0.945661405
0.42	0.314650871	0.946147989
0.421	0.31459121	0.94596859
0.422	0.314894572	0.946880795
0.423	0.315313793	0.948141382
0.424	0.315478562	0.948636838
0.425	0.315524364	0.948774562
0.426	0.315548056	0.948845806
0.427	0.315683879	0.94925422
0.428	0.316050558	0.950356817
0.429	0.316310458	0.951138331
0.43	0.316616187	0.95205765
0.431	0.317009329	0.953239818
0.432	0.317197744	0.953806378
0.433	0.317381675	0.954359456
0.434	0.317608876	0.955042644
0.435	0.317871629	0.955832736
0.436	0.318157533	0.956692444
0.437	0.318322273	0.957187813
0.438	0.318438462	0.95753719
0.439	0.318746102	0.958462256
0.44	0.318927521	0.959007777
0.441	0.319055545	0.959392745
0.442	0.319228083	0.959911562
0.443	0.319440904	0.960551509
0.444	0.319676801	0.961260847
0.445	0.319879026	0.961868934
0.446	0.320013641	0.962273717
0.447	0.320298291	0.963129654
0.448	0.320486557	0.963695766
0.449	0.32055966	0.963915584
0.45	0.320787151	0.964599643
0.451	0.321031821	0.96533536
0.452	0.321225693	0.96591833
0.453	0.321363215	0.966331856
0.454	0.321585631	0.967000656
0.455	0.321757288	0.967516824
0.456	0.321908771	0.967972329
0.457	0.322135056	0.968652764
0.458	0.322209573	0.968876834
0.459	0.322358645	0.969325091
0.46	0.322651672	0.970206217
0.461	0.322848463	0.970797962
0.462	0.323022537	0.971321399
0.463	0.32321476	0.971899408
0.464	0.323420488	0.972518027
0.465	0.323454912	0.972621539
0.466	0.323601489	0.973062294
0.467	0.323854921	0.973824358
0.468	0.323982081	0.974206727
0.469	0.324014026	0.974302783
0.47	0.324185076	0.974817126
0.471	0.32451957	0.975822942
0.472	0.324497925	0.975757857
0.473	0.324637603	0.976177864
0.474	0.32491753	0.977019599
0.475	0.325121742	0.977633661
0.476	0.325178421	0.977804091
0.477	0.325310549	0.978201397
0.478	0.325546427	0.978910677
0.479	0.325682986	0.979321307
0.48	0.325895014	0.979958871
0.481	0.326100512	0.980576798
0.482	0.326226903	0.980956855
0.483	0.326392238	0.981454013
0.484	0.326588727	0.982044851
0.485	0.326785104	0.982635352
0.486	0.326947443	0.983123503
0.487	0.327157168	0.983754141
0.488	0.327367629	0.98438699
0.489	0.327535895	0.984892963
0.49	0.327641317	0.985209964
0.491	0.327822391	0.985754449
0.492	0.328056307	0.98645783
0.493	0.32827324	0.987110144
0.494	0.32845876	0.987667996
0.495	0.32860231	0.98809965
0.496	0.32870537	0.988409549
0.497	0.328784833	0.988648491
0.498	0.328963284	0.989185091
0.499	0.329111701	0.989631376
0.5	0.329163229	0.989786321
0.501	0.329313534	0.990238284
0.502	0.329495653	0.99078591
0.503	0.329657869	0.991273691
0.504	0.329771347	0.991614916
0.505	0.329947257	0.992143874
0.506	0.330127084	0.99268461
0.507	0.330263054	0.993093469
0.508	0.330340264	0.993325636
0.509	0.330514858	0.993850636
0.51	0.330655055	0.994272206
0.511	0.330647056	0.994248153
0.512	0.330743636	0.994538567
0.513	0.330907438	0.995031115
0.514	0.331090549	0.995581727
0.515	0.331241299	0.996035028
0.516	0.331321627	0.996276572
0.517	0.331341126	0.996335206
0.518	0.331342801	0.996340242
0.519	0.331426648	0.996592368
0.52	0.331483788	0.996764189
0.521	0.33150998	0.996842946
0.522	0.331541054	0.996936385
0.523	0.331576457	0.997042841
0.524	0.331633624	0.99721474
0.525	0.331691579	0.997389009
