Mg(ClO3)2.6H2O 80K NIR reflectance spectra from 0.35-2.5�m		
Data from Hanley et al. (2014)		
		
Wavelength (um)	% Reflectance	normalized
0.35	0.200940223	0.806287913
0.351	0.198298444	0.795687574
0.352	0.200890433	0.806088127
0.353	0.203489217	0.816515942
0.354	0.201557097	0.808763168
0.355	0.201544367	0.808712086
0.356	0.203883167	0.818096698
0.357	0.205967437	0.82645999
0.358	0.204782171	0.821704021
0.359	0.205017315	0.822647554
0.36	0.205148752	0.823174953
0.361	0.205009291	0.822615357
0.362	0.206336213	0.827939733
0.363	0.207604003	0.833026835
0.364	0.2066524	0.829208456
0.365	0.203945363	0.818346263
0.366	0.206511762	0.828644136
0.367	0.207643003	0.833183328
0.368	0.207645755	0.833194368
0.369	0.208879859	0.838146306
0.37	0.209556897	0.84086297
0.371	0.209331858	0.839959983
0.372	0.209199713	0.839429743
0.373	0.210928904	0.846368253
0.374	0.210533187	0.844780408
0.375	0.209921641	0.842326533
0.376	0.210614455	0.845106502
0.377	0.21152678	0.848767277
0.378	0.211694708	0.8494411
0.379	0.211847495	0.850054169
0.38	0.212668871	0.853350004
0.381	0.211792729	0.849834416
0.382	0.211676567	0.849368309
0.383	0.212744085	0.853651806
0.384	0.213668715	0.857361955
0.385	0.212773337	0.853769182
0.386	0.212247339	0.851658574
0.387	0.213155819	0.855303917
0.388	0.21390202	0.858298107
0.389	0.213504573	0.856703319
0.39	0.213533274	0.856818486
0.391	0.215154895	0.863325362
0.392	0.215182528	0.863436243
0.393	0.215013458	0.862757837
0.394	0.215251976	0.863714909
0.395	0.215803838	0.865929296
0.396	0.215742269	0.865682247
0.397	0.215961159	0.866560558
0.398	0.216656798	0.869351864
0.399	0.216667823	0.869396103
0.4	0.217321757	0.872020062
0.401	0.218095848	0.875126161
0.402	0.218327609	0.876056121
0.403	0.218539439	0.876906103
0.404	0.218991908	0.878721669
0.405	0.219413041	0.880411497
0.406	0.219328229	0.880071185
0.407	0.219404178	0.880375933
0.408	0.219688128	0.881515306
0.409	0.219986169	0.882711216
0.41	0.219853727	0.882179782
0.411	0.22038894	0.884327367
0.412	0.220849408	0.886175029
0.413	0.220592738	0.885145123
0.414	0.221050109	0.886980359
0.415	0.221344921	0.888163313
0.416	0.221428274	0.888497773
0.417	0.221761972	0.889836761
